dataset_id,dataset_name,policy_design_purpose,assumption_ref,available_in_repo,repo_dataset_id,repo_resolution,data_gap_severity,external_source_if_missing,external_source_url,notes
global_solar_atlas,Global Solar Atlas — PV Output & GHI,Calibrate mandate stringency by zone; set minimum system size expectations based on local solar resource (GHI and PVOUT),A10,yes,global_solar_atlas,930m,,,,~1km resolution sufficient for zoning-level policy design
ghsl_built_up,GHSL Built-Up Surface,Estimate aggregate building stock density; identify high-density areas suitable for rooftop mandates vs. low-density areas,A4,yes,ghsl_built_up,100m,,,,Useful as aggregate proxy but not building-level
ghsl_population,GHSL Population Density,Estimate beneficiary population per zone; size residential demand; weight equity scoring,A3,yes,ghsl_population,100m,,,,Key input for equity-weighted incentive design
ghsl_degree_urbanization,GHSL Degree of Urbanization,Classify urban vs. peri-urban vs. rural zones to define mandate applicability boundaries,A1,yes,ghsl_degree_urbanization,1000m,,,,Helps define policy perimeter
br_ibge,IBGE Census Indicators,Identify low-income neighborhoods for equity-weighted IPTU Sustentável incentives; housing quality indicators for retrofit targeting,A3,yes,br_ibge,vector (census tracts),,,,Explicitly referenced in intervention document for equity targeting
dynamic_world,Dynamic World Land Cover,Distinguish built-up from non-built areas; identify green space for hybrid solar+NbS installations,A2,yes,dynamic_world,10m,,,,High resolution helpful for land-use segmentation
copernicus_dem,Copernicus DEM 30m,Derive roof slope proxies at block level; identify terrain constraints for panel orientation assumptions,A4,yes,copernicus_dem,30m,,,,Slope derived layer also available in repo
chirps_copdem_fri_2030s_ssp245,Flood Risk Index 2030s (SSP2-4.5),Identify zones where solar mandates should require flood resilience measures or be phased,A8,yes,chirps_copdem_fri_2030s_ssp245,5566m,,,,Use moderate scenario for near-term policy design
chirps_copdem_fri_2050s_ssp585,Flood Risk Index 2050s (SSP5-8.5),Long-term risk screening for 25-year PV system lifespan under high-emission scenario,A8,yes,chirps_copdem_fri_2050s_ssp585,5566m,,,,Worst-case for long-lived infrastructure
chirps_copdem_fri_2024,Flood Risk Index 2024 (Baseline),Current flood risk baseline for policy calibration,A8,yes,chirps_copdem_fri_2024,5566m,,,,Baseline reference
era5land_txx_2024,ERA5 Extreme Max Temperature 2024,Spatially differentiate PV performance derating due to temperature; identify zones needing adjusted yield expectations,A13,yes,era5land_txx_2024,11132m,,,,0.3-0.5% efficiency loss per degree above 25°C
era5land_txx_climatology,ERA5 Extreme Max Temperature Climatology,Long-term temperature baseline for PV performance modeling,A13,yes,era5land_txx_climatology,11132m,,,,Complements 2024 snapshot
era5land_hwm_2030s_45,Heatwave Magnitude 2030s (SSP2-4.5),Identify areas with growing cooling demand where solar+efficiency bundles should be prioritized in policy,A13,yes,era5land_hwm_2030s_45,11132m,,,,Links solar mandate to cooling demand co-benefits
noaa_viirs_nightlights,VIIRS Night Lights,Proxy for grid infrastructure density; identify potentially grid-constrained areas,A5,yes,noaa_viirs_nightlights,500m,,,,Low-resolution proxy — actual grid data preferred
mapbiomas_power_infrastructure,MapBiomas Power Infrastructure,Locate transmission lines and substations; estimate grid connection proximity for mandate feasibility,A5,yes,mapbiomas_power_infrastructure,vector,,,,Transmission-level only — distribution grid not included
